Macrotrends Data Download

CME Japanese Yen JPY Futures #1 (JY1)

All contracts are Front Month | Calendar-Weighted Adjusted Prices,
Roll on First of Month | Continuous Contract History.

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1978-06-21,4800.0000
1978-06-22,4804.0000
1978-06-23,4864.0000
1978-06-26,4898.0000
1978-06-27,4945.0000
1978-06-28,4916.0000
1978-06-29,4928.0000
1978-06-30,4988.0000
1978-07-03,5004.0000
1978-07-05,5022.0000
1978-07-06,4976.0000
1978-07-07,5003.0000
1978-07-10,5017.0000
1978-07-11,4979.0000
1978-07-12,4968.0000
1978-07-13,4979.0000
1978-07-14,4986.0000
1978-07-17,4961.0000
1978-07-18,5002.0000
1978-07-19,5021.0000
1978-07-20,5010.0000
1978-07-21,5061.0000
1978-07-24,5117.0000
1978-07-25,5156.0000
1978-07-26,5214.0000
1978-07-27,5268.0000
1978-07-28,5256.0000
1978-07-31,5316.0000
1978-08-01,5376.0000
1978-08-02,5417.0000
1978-08-03,5357.0000
1978-08-04,5313.0000
1978-08-07,5363.0000
1978-08-08,5383.0000
1978-08-09,5366.0000
1978-08-10,5422.0000
1978-08-11,5417.0000
1978-08-14,5477.0000
1978-08-15,5447.0000
1978-08-16,5414.0000
1978-08-17,5354.0000
1978-08-18,5294.0000
1978-08-21,5286.0000
1978-08-22,5251.0000
1978-08-23,5245.0000
1978-08-24,5252.0000
1978-08-25,5204.0000
1978-08-28,5200.4000
1978-08-29,5275.8000
1978-08-30,5351.2000
1978-08-31,5293.8000
1978-09-01,5347.0000
1978-09-05,5373.0000
1978-09-06,5352.0000
1978-09-07,5284.0000
1978-09-08,5256.0000
1978-09-11,5298.0000
1978-09-12,5307.0000
1978-09-13,5406.0000
1978-09-14,5343.0000
1978-09-15,5343.0000
1978-09-18,5342.0000
1978-09-19,5312.0000
1978-09-20,5409.0000
1978-09-21,5414.0000
1978-09-22,5433.0000
1978-09-25,5411.0000
1978-09-26,5351.0000
1978-09-27,5383.0000
1978-09-28,5375.0000
1978-09-29,5361.0000
1978-10-02,5367.0000
1978-10-03,5418.0000
1978-10-04,5427.0000
1978-10-05,5419.0000
1978-10-06,5343.0000
1978-10-09,5391.0000
1978-10-10,5381.0000
1978-10-11,5476.0000
1978-10-12,5423.0000
1978-10-13,5441.0000
1978-10-16,5541.0000
1978-10-17,5565.0000
1978-10-18,5533.0000
1978-10-19,5506.0000
1978-10-20,5548.0000
1978-10-23,5550.0000
1978-10-24,5542.0000
1978-10-25,5642.0000
1978-10-26,5664.0000
1978-10-27,5680.0000
1978-10-30,5723.0000
1978-10-31,5629.0000
1978-11-01,5529.0000
1978-11-02,5379.0000
1978-11-03,5342.0000
1978-11-06,5333.0000
1978-11-08,5397.0000
1978-11-09,5385.0000
1978-11-10,5361.0000
1978-11-13,5364.0000
1978-11-14,5334.0000
1978-11-15,5241.0000
1978-11-16,5224.0000
1978-11-17,5140.0000
1978-11-20,5202.0000
1978-11-21,5167.0000
1978-11-22,5200.0000
1978-11-27,5150.0000
1978-11-28,5162.6000
1978-11-29,5169.6000
1978-11-30,5142.8000
1978-12-01,5094.0000
1978-12-04,5194.0000
1978-12-05,5221.0000
1978-12-06,5178.0000
1978-12-07,5177.0000
1978-12-08,5202.0000
1978-12-11,5238.0000
1978-12-12,5226.0000
1978-12-13,5217.0000
1978-12-14,5245.0000
1978-12-15,5208.0000
1978-12-18,5308.0000
1978-12-19,5306.0000
1978-12-20,5287.0000
1978-12-21,5271.0000
